idx,n,edges,root_children,total_nodes,best_visits,best_value,est_cover,truth_cover
0,78,580,78,101,3,0.0166667,60,61
1,79,636,79,101,1,0.016129,62,63
2,177,3223,100,101,1,0.00641026,156,158
3,137,1807,100,101,1,0.00862069,116,117
4,54,287,54,101,3,0.025641,39,40
5,147,2105,100,101,1,0.00806452,124,126
6,150,2209,100,101,1,0.00775194,129,131
7,116,1352,100,101,1,0.0103093,97,98
8,181,3382,100,101,1,0.00625,160,163
9,192,3660,100,101,1,0.00595238,168,172
10,54,277,54,101,4,0.025641,39,39
11,193,3779,100,101,1,0.00591716,169,173
12,135,1846,100,101,1,0.00877193,114,118
13,180,3202,100,101,1,0.00636943,157,160
14,87,725,87,101,1,0.0142857,70,71
15,60,359,60,101,3,0.0217391,46,46
16,108,1171,100,101,1,0.011236,89,91
17,194,3778,100,101,1,0.00581395,172,173
18,180,3141,100,101,1,0.00641026,156,160
19,151,2343,100,101,1,0.00769231,130,133
20,166,2721,100,101,1,0.00689655,145,147
21,146,2134,100,101,1,0.00793651,126,128
22,158,2475,100,101,1,0.00729927,137,138
23,138,1941,100,101,1,0.00854701,117,117
24,92,797,92,101,1,0.0136986,73,74
25,97,954,97,101,1,0.0126582,79,81
26,53,268,53,101,1,0.0263158,38,39
27,167,2706,100,101,1,0.00684932,146,147
28,83,663,83,101,1,0.015873,63,66
29,103,1053,100,101,1,0.0117647,85,86
30,138,1889,100,101,1,0.00840336,119,120
31,174,2974,100,101,1,0.00657895,152,156
32,187,3498,100,101,1,0.00606061,165,166
33,68,461,68,101,1,0.02,50,52
34,62,374,62,101,3,0.0212766,47,47
35,93,815,93,101,1,0.0133333,75,77
36,110,1218,100,101,1,0.010989,91,94
37,79,638,79,101,1,0.015873,63,64
38,84,678,84,101,1,0.0149254,67,68
39,59,353,59,101,1,0.0227273,44,45
40,71,502,71,101,1,0.0185185,54,56
41,102,997,100,101,1,0.0120482,83,85
42,65,419,65,101,2,0.0202041,50,51
43,178,3209,100,101,1,0.00636943,157,162
44,100,976,100,101,1,0.0123457,81,82
45,116,1251,100,101,1,0.0106383,94,96
46,190,3651,100,101,1,0.00595238,168,170
47,53,284,53,101,3,0.025641,39,40
48,197,3830,100,101,1,0.00574713,174,177
49,177,3116,100,101,1,0.00649351,154,158
